animal	tx	dose	ipsi_hemisphere_prnp_mrna
A1	PBS	0	101.67
A2	PBS	0	91.00
A3	PBS	0	109.03
A4	PBS	0	101.87
A5	PBS	0	95.23
A6	PBS	0	101.20
B1	1087171	300	64.30
B2	1087171	300	50.66
B3	1087171	300	61.24
B4	1087171	300	68.81
B5	1087171	300	52.27
B6	1087171	300	69.81
C1	1087171	1000	46.93
C2	1087171	1000	39.11
C3	1087171	1000	44.69
C4	1087171	1000	37.08
C5	1087171	1000	40.71
C6	1087171	1000	38.46
D1	1087171	3000	35.94
D2	1087171	3000	29.73
D3	1087171	3000	34.14
D4	1087171	3000	34.76
D5	1087171	3000	36.39
D6	1087171	3000	40.06
