sample	standard_curve	ngml_av	se_mean	flag
5ng/mL - 8H4 Ab June 2020	MoPrP16	5	0	ULQ
5ng/mL - 8H4 Ab March 2021	MoPrP16	4.383	0.038	
A1	MoPrP16	149.067	2.109	
A2	MoPrP16	145.807	0	
A3	MoPrP16	135.242	1.731	
B1	MoPrP16	130.621	0.578	
B2	MoPrP16	138.318	0.577	
B3	MoPrP16	134.08	6.351	
C1	MoPrP16	125.987	4.443	
C2	MoPrP16	122.702	3.87	
C3	MoPrP16	118.829	2.715	
D1	MoPrP16	97.306	1.978	
D2	MoPrP16	94.725	3.374	
D3	MoPrP16	81.909	1.822	
E1	MoPrP16	79.049	4.681	
E2	MoPrP16	78.244	3.465	
E3	MoPrP16	81.702	2.835	
F1	MoPrP16	152.709	5.367	
F2	MoPrP16	154.243	4.216	
F3	MoPrP16	155.776	5.366	
G1	MoPrP16	152.9	6.709	
G2	MoPrP16	161.142	0	
G3	MoPrP16	124.833	0.967	
H1	MoPrP16	89.353	1.2	
H2	MoPrP16	128.694	0.193	
H3	MoPrP16	128.5	1.543	
I1	MoPrP16	112.806	1.364	
I2	MoPrP16	88.148	2.804	
I3	MoPrP16	104.202	2.159	
J1	MoPrP16	100.06	4.733	
J2	MoPrP16	82.107	2.833	
J3	MoPrP16	108.122	0.977	
Mo Neg QC	MoPrP16	10.145	0.325	
Mo Pos Hi QC	MoPrP16	128.308	0.193	
Mo Pos Lo QC	MoPrP16	25.943	1.281	
Mo Pos Mid QC	MoPrP16	68.983	2.913	
