row	col	stype	detail	dilution	standard_curve
A	1	standard	5	1	rat
A	2	standard	5	1	rat
A	3	standard	5	1	mouse
A	4	standard	5	1	mouse
A	5	sample	KO	100	mouse
A	6	sample	KO	100	mouse
A	7	sample	0.1	100	mouse
A	8	sample	0.1	100	mouse
A	9	sample	0.25	100	mouse
A	10	sample	0.25	100	mouse
A	11	sample	0.5	100	mouse
A	12	sample	0.5	100	mouse
B	1	standard	2.78	1	rat
B	2	standard	2.78	1	rat
B	3	standard	2.78	1	mouse
B	4	standard	2.78	1	mouse
B	5	sample	0.75	100	mouse
B	6	sample	0.75	100	mouse
B	7	sample	0.9	100	mouse
B	8	sample	0.9	100	mouse
B	9	sample	WT	100	mouse
B	10	sample	WT	100	mouse
B	11				
B	12				
C	1	standard	1.54	1	rat
C	2	standard	1.54	1	rat
C	3	standard	1.54	1	mouse
C	4	standard	1.54	1	mouse
C	5	sample	A1	100	rat
C	6	sample	A1	100	rat
C	7	sample	A2	100	rat
C	8	sample	A2	100	rat
C	9	sample	A3	100	rat
C	10	sample	A3	100	rat
C	11	sample	A4	100	rat
C	12	sample	A4	100	rat
D	1	standard	0.858	1	rat
D	2	standard	0.858	1	rat
D	3	standard	0.858	1	mouse
D	4	standard	0.858	1	mouse
D	5	sample	B1	100	rat
D	6	sample	B1	100	rat
D	7	sample	B2	100	rat
D	8	sample	B2	100	rat
D	9	sample	B3	100	rat
D	10	sample	B3	100	rat
D	11	sample	B4	100	rat
D	12	sample	B4	100	rat
E	1	standard	0.476	1	rat
E	2	standard	0.476	1	rat
E	3	standard	0.476	1	mouse
E	4	standard	0.476	1	mouse
E	5	sample	C1	100	rat
E	6	sample	C1	100	rat
E	7	sample	C2	100	rat
E	8	sample	C2	100	rat
E	9	sample	C3	100	rat
E	10	sample	C3	100	rat
E	11	sample	C4	100	rat
E	12	sample	C4	100	rat
F	1	standard	0.265	1	rat
F	2	standard	0.265	1	rat
F	3	standard	0.265	1	mouse
F	4	standard	0.265	1	mouse
F	5	sample	57492.1	100	mouse
F	6	sample	57492.1	100	mouse
F	7	sample	57494.2	100	mouse
F	8	sample	57494.2	100	mouse
F	9	sample	57490.1	100	mouse
F	10	sample	57490.1	100	mouse
F	11	sample	57490.2	100	mouse
F	12	sample	57490.2	100	mouse
G	1	standard	0.148	1	rat
G	2	standard	0.148	1	rat
G	3	standard	0.148	1	mouse
G	4	standard	0.148	1	mouse
G	5	sample	57490.3	100	mouse
G	6	sample	57490.3	100	mouse
G	7	sample	57496.3	100	mouse
G	8	sample	57496.3	100	mouse
G	9	sample	57504.1	100	mouse
G	10	sample	57504.1	100	mouse
G	11	sample	57501.2	100	mouse
G	12	sample	57501.2	100	mouse
H	1	standard	0	1	rat
H	2	standard	0	1	rat
H	3	standard	0	1	mouse
H	4	standard	0	1	mouse
H	5	sample	57501.3	100	mouse
H	6	sample	57501.3	100	mouse
H	7	sample	57506.1	100	mouse
H	8	sample	57506.1	100	mouse
H	9	sample	57506.2	100	mouse
H	10	sample	57506.2	100	mouse
H	11	sample	57506.5	100	mouse
H	12	sample	57506.5	100	mouse
