row	col	stype	detail	dilution	standard_curve
A	1	standard	5	1	Bills Ab
A	2	standard	5	1	Bills Ab
A	3	standard	5	1	Ab 1:2
A	4	standard	5	1	Ab 1:2
A	5	standard	5	1	Ab 1:4
A	6	standard	5	1	Ab 1:4
A	7	standard	5	1	Ab 1:8
A	8	standard	5	1	Ab 1:8
A	9	standard	5	1	Ab 1:16
A	10	standard	5	1	Ab 1:16
A	11				
A	12				
B	1	standard	2.78	1	Bills Ab
B	2	standard	2.78	1	Bills Ab
B	3	standard	2.78	1	Ab 1:2
B	4	standard	2.78	1	Ab 1:2
B	5	standard	2.78	1	Ab 1:4
B	6	standard	2.78	1	Ab 1:4
B	7	standard	2.78	1	Ab 1:8
B	8	standard	2.78	1	Ab 1:8
B	9	standard	2.78	1	Ab 1:16
B	10	standard	2.78	1	Ab 1:16
B	11				
B	12				
C	1	standard	1.54	1	Bills Ab
C	2	standard	1.54	1	Bills Ab
C	3	standard	1.54	1	Ab 1:2
C	4	standard	1.54	1	Ab 1:2
C	5	standard	1.54	1	Ab 1:4
C	6	standard	1.54	1	Ab 1:4
C	7	standard	1.54	1	Ab 1:8
C	8	standard	1.54	1	Ab 1:8
C	9	standard	1.54	1	Ab 1:16
C	10	standard	1.54	1	Ab 1:16
C	11				
C	12				
D	1	standard	0.858	1	Bills Ab
D	2	standard	0.858	1	Bills Ab
D	3	standard	0.858	1	Ab 1:2
D	4	standard	0.858	1	Ab 1:2
D	5	standard	0.858	1	Ab 1:4
D	6	standard	0.858	1	Ab 1:4
D	7	standard	0.858	1	Ab 1:8
D	8	standard	0.858	1	Ab 1:8
D	9	standard	0.858	1	Ab 1:16
D	10	standard	0.858	1	Ab 1:16
D	11				
D	12				
E	1	standard	0.476	1	Bills Ab
E	2	standard	0.476	1	Bills Ab
E	3	standard	0.476	1	Ab 1:2
E	4	standard	0.476	1	Ab 1:2
E	5	standard	0.476	1	Ab 1:4
E	6	standard	0.476	1	Ab 1:4
E	7	standard	0.476	1	Ab 1:8
E	8	standard	0.476	1	Ab 1:8
E	9	standard	0.476	1	Ab 1:16
E	10	standard	0.476	1	Ab 1:16
E	11				
E	12				
F	1	standard	0.265	1	Bills Ab
F	2	standard	0.265	1	Bills Ab
F	3	standard	0.265	1	Ab 1:2
F	4	standard	0.265	1	Ab 1:2
F	5	standard	0.265	1	Ab 1:4
F	6	standard	0.265	1	Ab 1:4
F	7	standard	0.265	1	Ab 1:8
F	8	standard	0.265	1	Ab 1:8
F	9	standard	0.265	1	Ab 1:16
F	10	standard	0.265	1	Ab 1:16
F	11				
F	12				
G	1	standard	0.148	1	Bills Ab
G	2	standard	0.148	1	Bills Ab
G	3	standard	0.148	1	Ab 1:2
G	4	standard	0.148	1	Ab 1:2
G	5	standard	0.148	1	Ab 1:4
G	6	standard	0.148	1	Ab 1:4
G	7	standard	0.148	1	Ab 1:8
G	8	standard	0.148	1	Ab 1:8
G	9	standard	0.148	1	Ab 1:16
G	10	standard	0.148	1	Ab 1:16
G	11				
G	12				
H	1	standard	0	1	Bills Ab
H	2	standard	0	1	Bills Ab
H	3	standard	0	1	Ab 1:2
H	4	standard	0	1	Ab 1:2
H	5	standard	0	1	Ab 1:4
H	6	standard	0	1	Ab 1:4
H	7	standard	0	1	Ab 1:8
H	8	standard	0	1	Ab 1:8
H	9	standard	0	1	Ab 1:16
H	10	standard	0	1	Ab 1:16
H	11				
H	12				
