row	col	stype	detail	dilution	standard_curve
A	1	standard	5	1	1:4 Ab Normal Strep-HRP
A	2	standard	5	1	1:4 Ab Normal Strep-HRP
A	3	standard	5	1	1:4 Ab 3/4th Strep-HRP
A	4	standard	5	1	1:4 Ab 3/4th Strep-HRP
A	5	standard	5	1	1:8 Ab 3/4th Strep-HRP
A	6	standard	5	1	1:8 Ab 3/4th Strep-HRP
B	1	standard	2.78	1	1:4 Ab Normal Strep-HRP
B	2	standard	2.78	1	1:4 Ab Normal Strep-HRP
B	3	standard	2.78	1	1:4 Ab 3/4th Strep-HRP
B	4	standard	2.78	1	1:4 Ab 3/4th Strep-HRP
B	5	standard	2.78	1	1:8 Ab 3/4th Strep-HRP
B	6	standard	2.78	1	1:8 Ab 3/4th Strep-HRP
C	1	standard	1.54	1	1:4 Ab Normal Strep-HRP
C	2	standard	1.54	1	1:4 Ab Normal Strep-HRP
C	3	standard	1.54	1	1:4 Ab 3/4th Strep-HRP
C	4	standard	1.54	1	1:4 Ab 3/4th Strep-HRP
C	5	standard	1.54	1	1:8 Ab 3/4th Strep-HRP
C	6	standard	1.54	1	1:8 Ab 3/4th Strep-HRP
D	1	standard	0.476	1	1:4 Ab Normal Strep-HRP
D	2	standard	0.476	1	1:4 Ab Normal Strep-HRP
D	3	standard	0.476	1	1:4 Ab 3/4th Strep-HRP
D	4	standard	0.476	1	1:4 Ab 3/4th Strep-HRP
D	5	standard	0.476	1	1:8 Ab 3/4th Strep-HRP
D	6	standard	0.476	1	1:8 Ab 3/4th Strep-HRP
E	1	standard	0.265	1	1:4 Ab Normal Strep-HRP
E	2	standard	0.265	1	1:4 Ab Normal Strep-HRP
E	3	standard	0.265	1	1:4 Ab 3/4th Strep-HRP
E	4	standard	0.265	1	1:4 Ab 3/4th Strep-HRP
E	5	standard	0.265	1	1:8 Ab 3/4th Strep-HRP
E	6	standard	0.265	1	1:8 Ab 3/4th Strep-HRP
F	1	standard	0.858	1	1:4 Ab Normal Strep-HRP
F	2	standard	0.858	1	1:4 Ab Normal Strep-HRP
F	3	standard	0.858	1	1:4 Ab 3/4th Strep-HRP
F	4	standard	0.858	1	1:4 Ab 3/4th Strep-HRP
F	5	standard	0.858	1	1:8 Ab 3/4th Strep-HRP
F	6	standard	0.858	1	1:8 Ab 3/4th Strep-HRP
G	1	standard	0.148	1	1:4 Ab Normal Strep-HRP
G	2	standard	0.148	1	1:4 Ab Normal Strep-HRP
G	3	standard	0.148	1	1:4 Ab 3/4th Strep-HRP
G	4	standard	0.148	1	1:4 Ab 3/4th Strep-HRP
G	5	standard	0.148	1	1:8 Ab 3/4th Strep-HRP
G	6	standard	0.148	1	1:8 Ab 3/4th Strep-HRP
H	1	standard	0	1	1:4 Ab Normal Strep-HRP
H	2	standard	0	1	1:4 Ab Normal Strep-HRP
H	3	standard	0	1	1:4 Ab 3/4th Strep-HRP
H	4	standard	0	1	1:4 Ab 3/4th Strep-HRP
H	5	standard	0	1	1:8 Ab 3/4th Strep-HRP
H	6	standard	0	1	1:8 Ab 3/4th Strep-HRP
