10,,,10,
200219 SHaPrP SEC001:10_UV,,,200219 SHaPrP SEC001:10_Fractions,
ml,min, mAU,ml,(Fractions)
53.21,17.73718179,-0.42,,
53.57,17.85702761,-0.40,,
53.93,17.97687343,-0.41,,
54.29,18.09671925,-0.42,,
54.65,18.21656508,-0.41,,
55.01,18.3364109,-0.42,,
55.37,18.45625672,-0.41,,
55.73,18.57610255,-0.41,,
56.09,18.69594837,-0.42,,
56.45,18.81579419,-0.41,,
56.81,18.93564001,-0.41,,
57.17,19.05548584,-0.41,,
57.53,19.17533166,-0.41,,
57.89,19.29517748,-0.41,,
58.25,19.41502331,-0.41,,
58.60,19.53486913,-0.41,,
58.96,19.65471495,-0.41,,
59.32,19.77456077,-0.41,,
59.68,19.8944066,-0.41,,
60.04,20.01425242,-0.41,,
60.40,20.13409824,-0.42,,
60.76,20.25394407,-0.42,,
61.12,20.37378989,-0.42,,
61.48,20.49363571,-0.42,,
61.84,20.61348153,-0.42,,
62.20,20.73332736,-0.41,,
62.56,20.85317318,-0.41,,
62.92,20.973019,-0.42,,
63.28,21.09286483,-0.42,,
63.64,21.21271065,-0.42,,
64.00,21.33255647,-0.42,,
64.36,21.45240229,-0.42,,
64.72,21.57224812,-0.42,,
65.08,21.69209394,-0.41,,
65.44,21.81193976,-0.42,,
65.80,21.93178559,-0.41,,
66.15,22.05163141,-0.41,,
66.51,22.17147723,-0.40,,
66.87,22.29132305,-0.41,,
67.23,22.41116888,-0.41,,
67.59,22.5310147,-0.40,,
67.95,22.65086052,-0.41,,
68.31,22.77070635,-0.41,,
68.67,22.89055217,-0.40,,
69.03,23.01039799,-0.40,,
69.39,23.13024381,-0.40,,
69.75,23.25008964,-0.40,,
70.11,23.36993546,-0.40,,
70.47,23.48978128,-0.40,,
70.83,23.60962711,-0.40,,
71.19,23.72947293,-0.40,,
71.55,23.84931875,-0.40,,
71.91,23.96916458,-0.40,,
72.27,24.0890104,-0.40,,
72.63,24.20885622,-0.40,,
72.99,24.32870204,-0.40,,
73.35,24.44854787,-0.40,,
73.71,24.56839369,-0.40,,
74.06,24.68823951,-0.41,,
74.42,24.80808534,-0.41,,
74.78,24.92793116,-0.40,,
75.14,25.04777698,-0.40,,
75.50,25.1676228,-0.40,,
75.86,25.28746863,-0.40,,
76.22,25.40731445,-0.40,,
76.58,25.52716027,-0.39,,
76.94,25.6470061,-0.40,,
77.30,25.76685192,-0.40,,
77.66,25.88669774,-0.39,,
78.02,26.00654356,-0.38,,
78.38,26.12638939,-0.38,,
78.74,26.24623521,-0.38,,
79.10,26.36608103,-0.39,,
79.46,26.48592686,-0.38,,
79.82,26.60577268,-0.39,,
80.18,26.7256185,-0.38,,
80.54,26.84546432,-0.38,,
80.90,26.96531015,-0.38,,
81.26,27.08515597,-0.38,,
81.62,27.20500179,-0.39,,
81.97,27.32484762,-0.39,,
82.33,27.44469344,-0.38,,
82.69,27.56453926,-0.38,,
83.05,27.68438508,-0.39,,
83.41,27.80423091,-0.38,,
83.77,27.92407673,-0.40,,
84.13,28.04392255,-0.41,,
84.49,28.16376838,-0.40,,
84.85,28.2836142,-0.40,,
85.21,28.40346002,-0.39,,
85.57,28.52330584,-0.38,,
85.93,28.64315167,-0.38,,
86.29,28.76299749,-0.38,,
86.65,28.88284331,-0.39,,
87.01,29.00268914,-0.39,,
87.37,29.12253496,-0.39,,
87.73,29.24238078,-0.39,,
88.09,29.3622266,-0.39,,
88.45,29.48207243,-0.39,,
88.81,29.60191825,-0.40,,
89.17,29.72176407,-0.39,,
89.52,29.8416099,-0.39,,
89.88,29.96145572,-0.39,,
90.24,30.08130154,-0.39,,
90.60,30.20114736,-0.39,,
90.96,30.32099319,-0.39,,
91.32,30.44083901,-0.39,,
91.68,30.56068483,-0.39,,
92.04,30.68053066,-0.38,,
92.40,30.80037648,-0.40,,
92.76,30.9202223,-0.39,,
93.12,31.04006812,-0.39,,
93.48,31.15991395,-0.38,,
93.84,31.27975977,-0.39,,
94.20,31.39960559,-0.39,,
94.56,31.51945142,-0.39,,
94.92,31.63929724,-0.40,,
95.28,31.75914306,-0.41,,
95.64,31.87898888,-0.40,,
96.00,31.99883471,-0.39,,
96.36,32.11868053,-0.39,,
96.72,32.23852635,-0.39,,
97.08,32.35837218,-0.40,,
97.43,32.478218,-0.40,,
97.79,32.59806382,-0.40,,
98.15,32.71790965,-0.40,,
98.51,32.83775547,-0.40,,
98.87,32.95760129,-0.40,,
99.23,33.07744711,-0.40,,
99.59,33.19729294,-0.40,,
99.95,33.31713876,-0.40,,
100.31,33.43698458,-0.40,,
100.67,33.55683041,-0.40,,
101.03,33.67667623,-0.40,,
101.39,33.79652205,-0.40,,
101.75,33.91636787,-0.40,,
102.11,34.0362137,-0.39,,
102.47,34.15605952,-0.39,,
102.83,34.27590534,-0.39,,
103.19,34.39575117,-0.39,,
103.55,34.51559699,-0.39,,
103.91,34.63544281,-0.40,,
104.27,34.75528863,-0.40,,
104.63,34.87513446,-0.39,,
104.98,34.99498028,-0.39,,
105.34,35.1148261,-0.39,,
105.70,35.23467193,-0.40,,
106.06,35.35451775,-0.40,,
106.42,35.47436357,-0.39,,
106.78,35.59420939,-0.39,,
107.14,35.71405522,-0.39,,
107.50,35.83390104,-0.41,,
107.86,35.95374686,-0.40,,
108.22,36.07359269,-0.41,,
108.58,36.19343851,-0.41,,
108.94,36.31328433,-0.41,,
109.30,36.43313015,-0.41,,
109.66,36.55297598,-0.41,,
110.02,36.6728218,-0.41,,
110.38,36.79266762,-0.40,,
110.74,36.91251345,-0.40,,
111.10,37.03235927,-0.40,,
111.46,37.15220509,-0.41,,
111.82,37.27205091,-0.41,,
112.18,37.39189674,-0.40,,
112.54,37.51174256,-0.41,,
112.89,37.63158838,-0.40,,
113.25,37.75143421,-0.41,,
113.61,37.87128003,-0.41,,
113.97,37.99112585,-0.41,,
114.33,38.11097167,-0.40,,
114.69,38.2308175,-0.41,,
115.05,38.35066332,-0.41,,
115.41,38.47050914,-0.41,,
115.77,38.59035497,-0.40,,
116.13,38.71020079,-0.40,,
116.49,38.83004661,-0.40,,
116.85,38.94989243,-0.41,,
117.21,39.06973826,-0.41,,
117.57,39.18958408,-0.40,,
117.93,39.3094299,-0.40,,
118.29,39.42927573,-0.40,,
118.65,39.54912155,-0.42,,
119.01,39.66896737,-0.41,,
119.37,39.78881319,-0.41,,
119.73,39.90865902,-0.41,,
120.09,40.02850484,-0.41,,
120.45,40.14835066,-0.41,,
120.80,40.26819649,-0.41,,
121.16,40.38804231,-0.41,,
121.52,40.50788813,-0.41,,
121.88,40.62773395,-0.41,,
122.24,40.74757978,-0.40,,
122.60,40.8674256,-0.40,,
122.96,40.98727142,-0.41,,
123.32,41.10711725,-0.40,,
123.68,41.22696307,-0.41,,
124.04,41.34680889,-0.40,,
124.40,41.46665471,-0.40,,
124.76,41.58650054,-0.40,,
125.12,41.70634636,-0.40,,
125.48,41.82619218,-0.40,,
125.84,41.94603801,-0.40,,
126.20,42.06588383,-0.40,,
126.56,42.18572965,-0.40,,
126.92,42.30557548,-0.40,,
127.28,42.4254213,-0.40,,
127.64,42.54526712,-0.39,,
128.00,42.66511294,-0.39,,
128.35,42.78495877,-0.39,,
128.71,42.90480459,-0.39,,
129.07,43.02465041,-0.40,,
129.43,43.14449624,-0.40,,
129.79,43.26434206,-0.40,,
130.15,43.38418788,-0.39,,
130.51,43.5040337,-0.39,,
130.87,43.62387953,-0.39,,
131.23,43.74372535,-0.40,,
131.59,43.86357117,-0.39,,
131.95,43.983417,-0.39,,
132.31,44.10326282,-0.39,,
132.67,44.22310864,-0.40,,
133.03,44.34295446,-0.40,,
133.39,44.46280029,-0.40,,
133.75,44.58264611,-0.39,,
134.11,44.70249193,-0.39,,
134.47,44.82233776,-0.40,,
134.83,44.94218358,-0.40,,
135.19,45.0620294,-0.40,,
135.55,45.18187522,-0.39,,
135.91,45.30172105,-0.39,,
136.26,45.42156687,-0.39,,
136.62,45.54141269,-0.41,,
136.98,45.66125852,-0.40,,
137.34,45.78110434,-0.40,,
137.70,45.90095016,-0.40,,
138.06,46.02079598,-0.40,,
138.42,46.14064181,-0.39,,
138.78,46.26048763,-0.39,,
139.14,46.38033345,-0.41,,
139.50,46.50017928,-0.40,,
139.86,46.6200251,-0.39,,
140.22,46.73987092,-0.39,,
140.58,46.85971674,-0.40,,
140.94,46.97956257,-0.41,,
141.30,47.09940839,-0.40,,
141.66,47.21925421,-0.40,,
142.02,47.33910004,-0.40,,
142.38,47.45894586,-0.40,,
142.74,47.57879168,-0.40,,
143.10,47.6986375,-0.40,,
143.46,47.81848333,-0.40,,
143.81,47.93832915,-0.40,,
144.17,48.05817497,-0.40,,
144.53,48.1780208,-0.39,,
144.89,48.29786662,-0.40,,
145.25,48.41771244,-0.40,,
145.61,48.53755826,-0.39,,
145.97,48.65740409,-0.39,,
146.33,48.77724991,-0.39,,
146.69,48.89709573,-0.39,,
147.05,49.01694156,-0.40,,
147.41,49.13678738,-0.39,,
147.77,49.2566332,-0.40,,
148.13,49.37647902,-0.40,,
148.49,49.49632485,-0.40,,
148.85,49.61617067,-0.40,,
149.21,49.73601649,-0.39,,
149.57,49.85586232,-0.39,,
149.93,49.97570814,-0.39,,
150.29,50.09555396,-0.38,,
150.65,50.21539978,-0.39,,
151.01,50.33524561,-0.38,,
151.37,50.45509143,-0.38,,
151.72,50.57493725,-0.38,,
152.08,50.69478308,-0.38,,
152.44,50.8146289,-0.38,,
152.80,50.93447472,-0.38,,
153.16,51.05432054,-0.37,,
153.52,51.17416637,-0.37,,
153.88,51.29401219,-0.37,,
154.24,51.41385801,-0.37,,
154.60,51.53370384,-0.36,,
154.96,51.65354966,-0.37,,
155.32,51.77339548,-0.36,,
155.68,51.89324131,-0.36,,
156.04,52.01308713,-0.35,,
156.40,52.13293295,-0.35,,
156.76,52.25277877,-0.35,,
157.12,52.3726246,-0.35,,
157.48,52.49247042,-0.35,,
157.84,52.61231624,-0.35,,
158.20,52.73216207,-0.35,,
158.56,52.85200789,-0.34,,
158.92,52.97185371,-0.34,,
159.28,53.09169953,-0.34,,
159.63,53.21154536,-0.34,,
159.99,53.33139118,-0.35,,
160.35,53.451237,-0.34,,
160.71,53.57108283,-0.35,,
161.07,53.69092865,-0.36,,
161.43,53.81077447,-0.34,,
161.79,53.93062029,-0.34,,
162.15,54.05046612,-0.35,,
162.51,54.17031194,-0.35,,
162.87,54.29015776,-0.35,,
163.23,54.41000359,-0.35,,
163.59,54.52984941,-0.34,,
163.95,54.64969523,-0.34,,
164.31,54.76954105,-0.35,,
164.67,54.88938688,-0.36,,
165.03,55.0092327,-0.34,,
165.39,55.12907852,-0.34,,
165.75,55.24892435,-0.33,,
166.11,55.36877017,-0.34,,
166.47,55.48861599,-0.34,,
166.83,55.60846181,-0.34,,
167.18,55.72830764,-0.35,,
167.54,55.84815346,-0.36,,
167.90,55.96799928,-0.36,,
168.26,56.08784511,-0.34,,
168.62,56.20769093,-0.35,,
168.98,56.32753675,-0.35,,
169.34,56.44738257,-0.36,,
169.70,56.5672284,-0.35,,
170.06,56.68707422,-0.35,,
170.42,56.80692004,-0.35,,
170.78,56.92676587,-0.35,,
171.14,57.04661169,-0.36,,
171.50,57.16645751,-0.36,,
171.86,57.28630333,-0.36,,
172.22,57.40614916,-0.36,,
172.58,57.52599498,-0.37,,
172.94,57.6458408,-0.37,,
173.30,57.76568663,-0.35,,
173.66,57.88553245,-0.36,,
174.02,58.00537827,-0.35,,
174.38,58.12522409,-0.35,,
174.74,58.24506992,-0.35,,
175.09,58.36491574,-0.36,,
175.45,58.48476156,-0.35,,
175.81,58.60460739,-0.35,,
176.17,58.72445321,-0.36,,
176.53,58.84429903,-0.35,,
176.89,58.96414485,-0.33,,
177.25,59.08399068,-0.33,,
177.61,59.2038365,-0.33,,
177.97,59.32368232,-0.33,,
178.33,59.44352815,-0.33,,
178.69,59.56337397,-0.33,,
179.05,59.68321979,-0.33,,
179.41,59.80306561,-0.33,,
179.77,59.92291144,-0.33,,
180.13,60.04275726,-0.33,,
180.49,60.16260308,-0.33,,
180.85,60.28244891,-0.32,,
181.21,60.40229473,-0.32,,
181.57,60.52214055,-0.32,,
181.93,60.64198638,-0.33,,
182.29,60.7618322,-0.32,,
182.65,60.88167802,-0.32,,
183.00,61.00152384,-0.31,,
183.36,61.12136967,-0.31,,
183.72,61.24121549,-0.32,,
184.08,61.36106131,-0.32,,
184.44,61.48090714,-0.32,,
184.80,61.60075296,-0.32,,
185.16,61.72059878,-0.32,,
185.52,61.8404446,-0.32,,
185.88,61.96029043,-0.31,,
186.24,62.08013625,-0.32,,
186.60,62.19998207,-0.32,,
186.96,62.3198279,-0.33,,
187.32,62.43967372,-0.33,,
187.68,62.55951954,-0.32,,
188.04,62.67936536,-0.33,,
188.40,62.79921119,-0.33,,
188.76,62.91905701,-0.32,,
189.12,63.03890283,-0.33,,
189.48,63.15874866,-0.33,,
189.84,63.27859448,-0.33,,
190.20,63.3984403,-0.32,,
190.55,63.51828612,-0.34,,
190.91,63.63813195,-0.33,,
191.27,63.75797777,-0.35,,
191.63,63.87782359,-0.34,,
191.99,63.99766942,-0.34,,
192.35,64.11751524,-0.34,,
192.71,64.23736106,-0.35,,
193.07,64.35720688,-0.35,,
193.43,64.47705271,-0.36,,
193.79,64.59689853,-0.36,,
194.15,64.71674435,-0.36,,
194.51,64.83659018,-0.37,,
194.87,64.956436,-0.36,,
195.23,65.07628182,-0.36,,
195.59,65.19612764,-0.36,,
195.95,65.31597347,-0.37,,
196.31,65.43581929,-0.38,,
196.67,65.55566511,-0.38,,
197.03,65.67551094,-0.38,,
197.39,65.79535676,-0.38,,
197.75,65.91520258,-0.38,,
198.11,66.0350484,-0.39,,
198.46,66.15489423,-0.39,,
198.82,66.27474005,-0.39,,
199.18,66.39458587,-0.39,,
199.54,66.5144317,-0.39,,
199.90,66.63427752,-0.39,,
200.26,66.75412334,-0.40,,
200.62,66.87396916,-0.40,,
200.98,66.99381499,-0.40,,
201.34,67.11366081,-0.40,,
201.70,67.23350663,-0.40,,
202.06,67.35335246,-0.40,,
202.42,67.47319828,-0.40,,
202.78,67.5930441,-0.41,,
203.14,67.71288992,-0.41,,
203.50,67.83273575,-0.42,,
203.86,67.95258157,-0.41,,
204.22,68.07242739,-0.42,,
204.58,68.19227322,-0.41,,
204.94,68.31211904,-0.42,,
205.30,68.43196486,-0.43,,
205.66,68.55181068,-0.44,,
206.01,68.67165651,-0.43,,
206.37,68.79150233,-0.43,,
206.73,68.91134815,-0.41,,
207.09,69.03119398,-0.42,,
207.45,69.1510398,-0.42,,
207.81,69.27088562,-0.44,,
208.17,69.39073144,-0.43,,
208.53,69.51057727,-0.43,,
208.89,69.63042309,-0.43,,
209.25,69.75026891,-0.44,,
209.61,69.87011474,-0.43,,
209.97,69.98996056,-0.43,,
210.33,70.10980638,-0.43,,
210.69,70.22965221,-0.43,,
211.05,70.34949803,-0.43,,
211.41,70.46934385,-0.43,,
211.77,70.58918967,-0.43,,
212.13,70.7090355,-0.43,,
212.49,70.82888132,-0.43,,
212.85,70.94872714,-0.43,,
213.21,71.06857297,-0.44,,
213.57,71.18841879,-0.44,,
213.92,71.30826461,-0.43,,
214.28,71.42811043,-0.44,,
214.64,71.54795626,-0.43,,
215.00,71.66780208,-0.44,,
215.36,71.7876479,-0.44,,
215.72,71.90749373,-0.43,,
216.08,72.02733955,-0.44,,
216.44,72.14718537,-0.43,,
216.80,72.26703119,-0.43,,
217.16,72.38687702,-0.43,,
217.52,72.50672284,-0.44,,
217.88,72.62656866,-0.44,,
218.24,72.74641449,-0.43,,
218.60,72.86626031,-0.43,,
218.96,72.98610613,-0.43,,
219.32,73.10595195,-0.43,,
219.68,73.22579778,-0.43,,
220.04,73.3456436,-0.43,,
220.40,73.46548942,-0.43,,
220.76,73.58533525,-0.42,,
221.12,73.70518107,-0.43,,
221.48,73.82502689,-0.43,,
221.83,73.94487271,-0.43,,
222.19,74.06471854,-0.43,,
222.55,74.18456436,-0.42,,
222.91,74.30441018,-0.43,,
